화재발생년월일,시도,시군구,인명피해소계,사망,부상,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
2020-01-01 00:03,전라북도,익산시,0,0,0,171,171,0,생활서비스,음식점,"치킨,족발"
2020-01-01 00:33,서울특별시,성북구,0,0,0,326,0,326,기타,야외,쓰레기
2020-01-01 00:35,경상북도,영덕군,0,0,0,0,,,기타,야외,기타야외
2020-01-01 00:40,충청북도,옥천군,0,0,0,2640,0,2640,"자동차,철도차량",자동차,승용자동차
2020-01-01 00:59,부산광역시,금정구,0,0,0,7904,179,7725,"자동차,철도차량",자동차,오토바이
2020-01-01 01:09,전라남도,함평군,0,0,0,1980,0,1980,"자동차,철도차량",자동차,승용자동차
2020-01-01 01:27,경기도,용인시처인구,0,0,0,26555,18850,7705,주거,단독주택,단독주택
2020-01-01 01:33,부산광역시,부산진구,0,0,0,212,209,3,주거,단독주택,다가구주택
2020-01-01 01:45,인천광역시,미추홀구,0,0,0,542,352,190,주거,공동주택,연립주택
2020-01-01 01:52,충청북도,충주시,0,0,0,1816,1541,275,산업시설,창고시설,기타 창고
2020-01-01 01:54,강원도,춘천시,0,0,0,1735,1488,247,주거,공동주택,다세대주택
2020-01-01 02:09,부산광역시,사상구,0,0,0,0,,,기타,야외,쓰레기
2020-01-01 02:09,충청남도,예산군,0,0,0,39,0,39,기타,도로,가로등
2020-01-01 02:20,경기도,의정부시,0,0,0,220,0,220,"자동차,철도차량",자동차,화물자동차
2020-01-01 02:46,서울특별시,금천구,6,0,6,68,0,68,기타,야외,기타야외
2020-01-01 03:17,충청남도,공주시,0,0,0,1075,767,308,산업시설,창고시설,기타 창고
2020-01-01 03:25,충청북도,청주시흥덕구,0,0,0,3410,0,3410,"자동차,철도차량",자동차,승용자동차
2020-01-01 03:26,경기도,화성시,0,0,0,23317,22880,437,산업시설,공장시설,금속기계 및 기구공업
2020-01-01 03:29,충청북도,청주시서원구,0,0,0,5423,3226,2197,주거,단독주택,단독주택
2020-01-01 03:55,인천광역시,중구,0,0,0,17,12,5,기타서비스,기타건축물,기타 건축물
2020-01-01 04:03,부산광역시,사하구,0,0,0,0,,,기타,야외,쓰레기
2020-01-01 04:04,울산광역시,북구,0,0,0,2,0,2,기타,야외,쓰레기
2020-01-01 04:08,울산광역시,남구,0,0,0,251,0,251,생활서비스,음식점,"치킨,족발"
2020-01-01 04:14,서울특별시,중랑구,0,0,0,193,83,110,생활서비스,일상서비스,기타 일상서비스
2020-01-01 04:36,서울특별시,관악구,0,0,0,38,0,38,생활서비스,음식점,"치킨,족발"
2020-01-01 05:02,서울특별시,용산구,0,0,0,31,0,31,기타,야외,기타야외
2020-01-01 05:07,대구광역시,동구,0,0,0,988,755,233,주거,공동주택,아파트
2020-01-01 05:25,부산광역시,서구,0,0,0,33,33,0,"의료,복지시설",건강시설,"목욕장(사우나, 찜질방)"
2020-01-01 05:31,광주광역시,북구,0,0,0,82633,12030,70603,산업시설,창고시설,"창고, 물품저장소"
2020-01-01 05:42,경상북도,경주시,0,0,0,9384,7046,2338,주거,단독주택,단독주택
2020-01-01 05:44,경기도,하남시,0,0,0,3113,1386,1727,주거,단독주택,다가구주택
2020-01-01 06:13,경기도,시흥시,0,0,0,19779,12170,7609,산업시설,공장시설,금속기계 및 기구공업
2020-01-01 07:22,광주광역시,서구,0,0,0,2090,0,2090,"자동차,철도차량",자동차,승용자동차
2020-01-01 07:34,전라남도,무안군,0,0,0,57,57,0,산업시설,창고시설,기타 창고
2020-01-01 07:41,전라남도,순천시,0,0,0,2291,2291,0,주거,단독주택,단독주택
2020-01-01 08:04,경상북도,김천시,0,0,0,1030,600,430,주거,공동주택,다세대주택
2020-01-01 08:14,충청남도,금산군,0,0,0,1650,0,1650,"자동차,철도차량",자동차,화물자동차
2020-01-01 08:24,인천광역시,계양구,0,0,0,5055,2488,2567,주거,공동주택,아파트
2020-01-01 08:38,인천광역시,강화군,0,0,0,12686,11273,1413,주거,단독주택,단독주택
2020-01-01 08:49,전라북도,정읍시,0,0,0,21649,10006,11643,주거,단독주택,단독주택
2020-01-01 09:11,강원도,원주시,0,0,0,583,363,220,기타서비스,기타건축물,기타 건축물
2020-01-01 09:13,서울특별시,서대문구,0,0,0,39,0,39,기타,야외,쓰레기
2020-01-01 09:15,전라남도,함평군,0,0,0,1911,605,1306,산업시설,공장시설,제재 및 목공업
2020-01-01 09:32,충청남도,보령시,0,0,0,5175,4862,313,생활서비스,음식점,한식
2020-01-01 09:33,전라남도,광양시,0,0,0,1500,0,1500,산업시설,공장시설,그 밖의 공업
2020-01-01 09:41,경기도,안산시상록구,0,0,0,3533,0,3533,주거,공동주택,다세대주택
2020-01-01 09:48,인천광역시,서구,0,0,0,12,0,12,생활서비스,음식점,한식
2020-01-01 10:28,서울특별시,강동구,0,0,0,1621,961,660,생활서비스,음식점,"치킨,족발"
2020-01-01 10:29,경상북도,구미시,0,0,0,493,346,147,생활서비스,일상서비스,이미용실
2020-01-01 10:34,서울특별시,동작구,0,0,0,189,122,67,주거,공동주택,아파트
2020-01-01 10:54,경상남도,거제시,0,0,0,968,0,968,기타,야외,기타야외
2020-01-01 11:12,경상남도,의령군,0,0,0,495,195,300,산업시설,동식물시설,우사
2020-01-01 11:28,부산광역시,기장군,0,0,0,4494,4219,275,생활서비스,오락시설,PC방(인터넷게임제공업)
2020-01-01 12:00,충청남도,서천군,0,0,0,1100,0,1100,산업시설,동식물시설,농예용 온실
2020-01-01 12:05,경기도,성남시수정구,0,0,0,7407,2893,4514,주거,단독주택,다가구주택
2020-01-01 12:11,경기도,성남시수정구,0,0,0,220,0,220,주거,단독주택,다가구주택
2020-01-01 12:15,대전광역시,서구,0,0,0,247,223,24,생활서비스,음식점,"커피숍,다방,카페"
2020-01-01 12:19,서울특별시,성동구,0,0,0,293,29,264,주거,공동주택,아파트
2020-01-01 12:39,전라남도,영광군,0,0,0,99,0,99,기타,야외,기타야외
2020-01-01 12:42,전라남도,완도군,0,0,0,2392,2392,0,"판매,업무시설",판매시설,기타 판매시설
2020-01-01 12:50,전라남도,담양군,0,0,0,89445,58,89387,"자동차,철도차량",자동차,버스
2020-01-01 12:54,전라남도,해남군,0,0,0,50816,48546,2270,주거,단독주택,단독주택
2020-01-01 12:56,강원도,강릉시,1,0,1,990,0,990,임야,산불,사유림
2020-01-01 13:03,부산광역시,수영구,0,0,0,55,0,55,주거,단독주택,다가구주택
2020-01-01 13:17,대구광역시,중구,0,0,0,1939,124,1815,생활서비스,일상서비스,기타 일상서비스
2020-01-01 13:23,서울특별시,용산구,0,0,0,363,0,363,주거,공동주택,아파트
2020-01-01 13:36,경상북도,문경시,0,0,0,976,976,0,주거,기타주택,기타 주택
2020-01-01 13:53,울산광역시,남구,0,0,0,653,202,451,기타,야외,기타야외
2020-01-01 14:20,경기도,광주시,0,0,0,825,0,825,"자동차,철도차량",자동차,승용자동차
2020-01-01 14:22,경상북도,영주시,0,0,0,9889,4469,5420,생활서비스,일상서비스,철물점
2020-01-01 14:42,경상북도,영덕군,0,0,0,41,27,14,집합시설,종교시설,사찰
2020-01-01 14:45,경상남도,통영시,0,0,0,6371,2616,3755,주거,공동주택,아파트
2020-01-01 14:46,부산광역시,영도구,0,0,0,1237,0,1237,"자동차,철도차량",자동차,승용자동차
