,index,순번,시도본부,소방서,119안전센터명,주소,전화번호,위도,경도
0,674,675,충남,천안동남,구성119안전센터,충청남도 천안시 동남구 천안대로 580,041-570-0332,36.7786182,127.1653151
1,675,676,충남,천안동남,독립119안전센터,충청남도 천안시 동남구 목천읍 독립기념관로 1,041-570-0362,36.7779289,127.2315564
2,676,677,충남,천안동남,병천119안전센터,충청남도 천안시 동남구 병천면 아우내순대길 78,041-570-0382,36.7633094,127.300193
3,677,678,충남,천안동남,청당119안전센터,충청남도 천안시 동남구 청수14로 91,041-570-0406,36.78581655,127.1561783
4,678,679,충남,천안동남,풍세119안전센터,충청남도 천안시 동남구 풍세면 풍세로 89,041-570-0428,36.7605459,127.1281688
5,679,680,충남,천안서북,차암119안전센터,충청남도 천안시 서북구 직산읍 4산단2길 32,041-360-0330,36.86263035,127.1161816
6,680,681,충남,천안서북,성거119안전센터,충청남도 천안시 서북구 성거읍 천흥8길 11,041-360-0360,36.8832889,127.207803
7,681,682,충남,천안서북,서부119안전센터,충청남도 천안시 서북구 양지18길 22,041-360-0380,36.8120018,127.1397305
8,682,683,충남,천안서북,두정119안전센터,충청남도 천안시 서북구 1공단2길 13,041-360-0400,36.82786645,127.146323
9,683,684,충남,천안서북,성환119안전센터,충청남도 천안시 서북구 성환읍 성환1로 395,041-360-0420,36.9100105,127.1284926
10,684,685,충남,천안서북,쌍용119안전센터,충청남도 천안시 서북구 월봉로 78번,041-360-0440,36.7975899,127.118282
11,685,686,충남,천안서북,입장119안전센터,충청남도 천안시 서북구 입장면 망향로 1107,041-360-0460,36.9194432,127.2335061
12,686,687,충남,천안서북,직산119안전센터,충청남도 천안시 서북구 직산읍 직산로 246,041-360-0480,36.8789836,127.1538321
13,687,688,충남,천안서북,불당119안전센터,충청남도 천안시 서북구 불당23로 62,041-360-0490,36.8194404,127.1011547
14,688,689,충남,공주,웅진119안전센터,충청남도 공주시 무령로 55,041-851-0332,36.4582703,127.1375935
15,689,690,충남,공주,유구119안전센터,충청남도 공주시 유구읍 유구외곽로 368,041-851-0362,36.5632,126.94115
16,690,691,충남,공주,신관119안전센터,충청남도 공주시 의당로 31,041-851-0382,36.47499825,127.1299047
17,691,692,충남,공주,동학사119안전센터,충청남도 공주시 반포면 동학사1로 110,041-851-0402,36.3708603,127.2610073
18,692,693,충남,공주,계룡119안전센터,충청남도 공주시 계룡면 월암송정길 18,041-851-0422,36.361377,127.141459
19,693,694,충남,공주,정안119안전센터,충청남도 공주시 정안면 광정장터길 18,041-851-0442,36.6108076,127.122838
20,694,695,충남,보령,명천119안전센터,충청남도 보령시 성주산로 63,041-930-0332,36.3124878,126.6553188
21,695,696,충남,보령,신흑119안전센터,충청남도 보령시 대천항로 205,041-930-0362,36.3160915,126.5169294
22,696,697,충남,보령,웅천119안전센터,충청남도 보령시 웅천읍 충서로 947,041-930-0383,36.21761,126.61279
23,697,698,충남,보령,오천119안전센터,충청남도 보령시 오천면 충청수영로 701,041-930-0405,36.4338182,126.5595363
24,698,699,충남,보령,주포119안전센터,충청남도 보령시 주포면 질재로 47-16,041-930-0424,36.4061605,126.6063136
25,699,700,충남,아산,모종119안전센터,충청남도 아산시 모종로 77,041-538-0332,36.78610885,127.0255772
26,700,701,충남,아산,둔포119안전센터,충청남도 아산시 충무로 1848,041-538-0362,36.8040737,127.0066848
27,701,702,충남,아산,인주119안전센터,충청남도 아산시 인주면 공세길 19,041-538-0402,36.8811882,126.9154608
28,702,703,충남,아산,신창119안전센터,충청남도 아산시 신창면 순천향로 48,041-538-0382,36.76445,126.95626
29,703,704,충남,아산,배방119안전센터,충청남도 아산시 배방읍 배방로 38,041-538-0422,36.7738571,127.0538327
30,704,705,충남,아산,탕정119안전센터,충청남도 아산시 탕정면 탕정면로 26,041-538-0442,36.8029626,127.0696513
31,705,706,충남,아산,장재119안전센터,충청남도 아산시 배방읍 용연로 88,041-538-0462,36.78903735,127.090598
32,706,707,충남,서산,예천119안전센터,충청남도 서산시 호수공원 14로 26-4,041-689-0332,36.7733057,126.445187
33,707,708,충남,서산,대산119안전센터,충청남도 서산시 대산읍 망일산로 831-15,041-689-0362,36.9397172,126.4360476
34,708,709,충남,서산,동부119안전센터,충청남도 서산시 학동3로 52,041-689-0382,36.7871614,126.4612419
35,709,710,충남,서산,해미119안전센터,충청남도 서산시 해미면 성지3길 29,041-689-0402,36.7101282,126.5428061
36,710,711,충남,서산,부석119안전센터,충청남도 서산시 부석면 강경벌로 10,041-689-0422,36.7185771,126.391907
37,711,712,충남,서산,성연119안전센터,충청남도 서산시 성연면 성연5로 92-31,041-689-0442,36.8188156,126.4498905
38,712,713,충남,논산,내동119안전센터,충청남도 논산시 대학로 17,041-730-0333,36.1782677,127.1003892
39,713,714,충남,논산,반월119안전센터,충청남도 논산시 해월로 155,041-730-0404,36.2090761,127.0967249
40,714,715,충남,논산,강경119안전센터,충청남도 논산시 강경읍 동안로 3 ,041-730-0362,36.1411223,127.0577432
41,715,716,충남,논산,연산119안전센터,충청남도 논산시 연산면 관창로 54,041-730-0429,36.212321,127.1784494
42,716,717,충남,논산,연무119안전센터,충청남도 논산시 연무읍 동안로 1137,041-730-0382,36.1347887,127.1004404
43,717,718,충남,계룡,엄사119안전센터,충청남도 계룡시 엄사면 문화로 32,042-540-5330,36.2741979,127.233489
44,718,719,충남,계룡,두마119안전센터,충청남도 계룡시 두마면 사계로 170,042-540-5360,36.2684527,127.2666259
45,719,720,충남,당진,당진119안전센터,충청남도 당진시 역천로 838,041-350-5338,36.8233158,126.6028811
46,720,721,충남,당진,석문119안전센터,충청남도 당진시 석문면 보덕포로 1069-21,041-350-5362,36.9850415,126.588476
47,721,722,충남,당진,합덕119안전센터,충청남도 당진시 우강면 중방로 2,041-350-5382,36.8146816,126.7641467
48,722,723,충남,당진,송악119안전센터,충청남도 당진시 송악읍 송악로 1019,041-350-5402,36.93652,126.7434861
49,723,724,충남,당진,신평119안전센터,충청남도 당진시 신평면 신평길 133,041-350-5422,36.8810308,126.777077
