화재발생년월일,시도,시군구,인명피해소계,사망,부상,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
2021-01-01 00:00,서울특별시,구로구,0,0,0,50,0,50,산업시설,공장시설,금속기계 및 기구공업
2021-01-01 00:05,광주광역시,광산구,0,0,0,146,86,60,산업시설,공장시설,"전기, 전자공업"
2021-01-01 00:06,광주광역시,광산구,1,1,0,5148,5111,37,"판매,업무시설",일반업무,오피스텔
2021-01-01 00:07,경기도,여주시,0,0,0,62588,35620,26968,생활서비스,음식점,한식
2021-01-01 00:12,경기도,양평군,0,0,0,118081,87509,30572,산업시설,동식물시설,계사
2021-01-01 00:21,인천광역시,미추홀구,0,0,0,493792,74911,418881,교육시설,학교,대학교
2021-01-01 00:43,광주광역시,북구,0,0,0,3566,2076,1490,생활서비스,음식점,일반주점
2021-01-01 00:57,인천광역시,강화군,0,0,0,5211,2967,2244,주거,단독주택,단독주택
2021-01-01 01:12,경상남도,창녕군,0,0,0,1645,1180,465,주거,공동주택,다세대주택
2021-01-01 01:15,서울특별시,강남구,0,0,0,22,0,22,기타,야외,쓰레기
2021-01-01 01:34,경기도,파주시,0,0,0,1436,1113,323,기타,야외,기타야외
2021-01-01 01:35,경기도,고양시일산동구,0,0,0,55,0,55,기타,야외,쓰레기
2021-01-01 01:46,경상남도,김해시,0,0,0,5119,4232,887,생활서비스,음식점,한식
2021-01-01 02:09,전라북도,전주시완산구,0,0,0,45,0,45,주거,단독주택,단독주택
2021-01-01 02:31,경기도,김포시,0,0,0,16997,11557,5440,산업시설,공장시설,그 밖의 공업
2021-01-01 02:41,충청북도,청주시 흥덕구,0,0,0,2087,1911,176,생활서비스,음식점,양식
2021-01-01 03:08,경기도,양주시,0,0,0,257,188,69,산업시설,공장시설,그 밖의 공업
2021-01-01 03:34,울산광역시,북구,0,0,0,2239,358,1881,기타서비스,기타건축물,기타 건축물
2021-01-01 05:05,경상남도,함안군,0,0,0,18965,9065,9900,기타서비스,기타건축물,기타 건축물
2021-01-01 06:06,전라남도,곡성군,0,0,0,965,910,55,기타서비스,기타건축물,기타 건축물
2021-01-01 06:12,경상북도,경주시,0,0,0,88708,20828,67880,생활서비스,일상서비스,철물점
2021-01-01 06:13,서울특별시,강남구,0,0,0,1865,1512,353,주거,공동주택,아파트
2021-01-01 06:26,경상남도,양산시,0,0,0,1213,1193,20,주거,공동주택,아파트
2021-01-01 06:36,인천광역시,남동구,0,0,0,1058,0,1058,생활서비스,음식점,양식
2021-01-01 06:50,강원도,원주시,0,0,0,610,0,610,기타,야외,기타야외
2021-01-01 07:00,서울특별시,강서구,0,0,0,452,0,452,생활서비스,음식점,간이음식점
2021-01-01 07:14,충청북도,청주시 청원구,0,0,0,331477,80677,250800,산업시설,공장시설,"전기, 전자공업"
2021-01-01 07:30,충청북도,보은군,0,0,0,366,0,366,주거,공동주택,아파트
2021-01-01 07:41,광주광역시,광산구,0,0,0,441,386,55,주거,단독주택,단독주택
2021-01-01 07:48,경기도,성남시중원구,0,0,0,155,38,117,운수자동차시설,자동차시설,주차장
