시군명,소방서관서명,주소,경도,위도,
천안시,충청소방학교,천안시 동남구 태조산길 269,127.187511,36.8184524,
천안시,천안동남소방서 ,천안시 동남구 천안대로 580,127.164966,36.7998146,
천안시,천안서북소방서 ,천안시 서북구 직산읍 4산단 2길 32,127.116149,36.8626245,
공주시,공주소방서 ,공주시 무령로 55,127.107933,36.4593864,
보령시,보령소방서 ,보령시 성주산로63,126.608371,36.3332458,
아산시,아산소방서 ,아산시 모종로77,127.025917,36.7860024,
서산시,서산소방서 ,서산시 호수공원 14로 26-4,126.445187,36.7733057,
논산시,논산소방서 ,논산시 대학로 17,127.100415,36.1780805,
계룡시,계룡소방서 ,계룡시 엄사면 문화로 32,127.233489,36.2741979,
당진시,당진소방서 ,당진시 역천로 838,126.617874,36.8857508,
금산군,금산소방서 ,금산군 금산읍 삼풍로 2,127.480213,36.0999224,
부여군,부여소방서 ,부여군 규암면 계백로 17,126.882262,36.2749405,
서천군,서천소방서 ,서천군 장항읍 장항로 37,126.683132,36.0134799,
청양군,청양소방서 ,청양군 청양읍 충절로 1187,126.792353,36.451609,
홍성군,홍성소방서 ,홍성군 홍성읍 충절로 741,126.695651,36.5853108,
예산군,예산소방서 ,예산군 오가면 오가중앙로 111,126.801811,36.6865887,
태안군,태안소방서 ,태안군 태안읍 동백로 100,126.286452,36.7581483,
