화재발생년월일,시도,시군구,인명피해소계,사망,부상,재산피해소계,부동산,동산,장소대분류,장소중분류,장소소분류
2019-01-01 00:03,강원도,삼척시,1,0,1,0,,,기타,야외,기타야외
2019-01-01 00:06,경기도,평택시,0,0,0,14900,12973,1927,주거,단독주택,단독주택
2019-01-01 00:40,서울특별시,성북구,0,0,0,3642,0,3642,"자동차,철도차량",자동차,승용자동차
2019-01-01 00:52,경기도,이천시,0,0,0,1848,0,1848,기타,야외,야적장
2019-01-01 01:06,부산광역시,부산진구,0,0,0,45,0,45,기타서비스,기타건축물,기타 건축물
2019-01-01 01:14,서울특별시,서초구,0,0,0,50,0,50,주거,공동주택,아파트
2019-01-01 01:24,충청남도,서천군,0,0,0,1127,870,257,주거,단독주택,단독주택
2019-01-01 01:37,경기도,시흥시,0,0,0,58,0,58,생활서비스,음식점,기타 음식점
2019-01-01 01:47,서울특별시,중랑구,0,0,0,22,0,22,주거,단독주택,단독주택
2019-01-01 01:53,충청남도,당진시,0,0,0,159,148,11,기타,야외,기타야외
2019-01-01 02:06,전라북도,전주시완산구,0,0,0,37,0,37,기타,야외,쓰레기
2019-01-01 02:17,경상남도,거제시,0,0,0,574,0,574,생활서비스,음식점,한식
2019-01-01 02:52,대전광역시,유성구,0,0,0,501,171,330,"판매,업무시설",숙박시설,여관
2019-01-01 02:54,경기도,포천시,0,0,0,47070,35333,11737,산업시설,공장시설,제재 및 목공업
2019-01-01 03:34,부산광역시,남구,0,0,0,2997,1523,1474,주거,공동주택,아파트
2019-01-01 04:10,인천광역시,연수구,0,0,0,1572,0,1572,"자동차,철도차량",자동차,특수자동차
2019-01-01 04:19,경기도,시흥시,0,0,0,1895,1184,711,주거,공동주택,아파트
2019-01-01 04:40,인천광역시,연수구,0,0,0,587,157,430,생활서비스,음식점,횟집
2019-01-01 04:52,서울특별시,강서구,0,0,0,470,364,106,생활서비스,음식점,"치킨,족발"
2019-01-01 05:17,서울특별시,마포구,0,0,0,45895,28057,17838,생활서비스,음식점,일반주점
2019-01-01 05:42,강원도,강릉시,0,0,0,346,0,346,기타,야외,기타야외
2019-01-01 05:45,충청남도,천안시서북구,0,0,0,69391,27355,42036,운수자동차시설,자동차시설,카센터
2019-01-01 05:45,서울특별시,종로구,0,0,0,11,0,11,기타,야외,쓰레기
2019-01-01 05:54,경기도,구리시,0,0,0,1540,0,1540,기타,야외,쓰레기
2019-01-01 06:08,경기도,김포시,0,0,0,99513,92931,6582,"판매,업무시설",일반업무,일반빌딩
2019-01-01 06:31,울산광역시,울주군,0,0,0,49,0,49,생활서비스,음식점,"치킨,족발"
2019-01-01 06:39,경상북도,경주시,0,0,0,249,194,55,"판매,업무시설",숙박시설,모텔
2019-01-01 06:45,서울특별시,성북구,0,0,0,451,0,451,생활서비스,음식점,일식
2019-01-01 07:04,서울특별시,광진구,0,0,0,1895,872,1023,집합시설,운동시설,"테니스장, 정구장"
2019-01-01 07:19,경상남도,김해시,0,0,0,2112,110,2002,생활서비스,음식점,횟집
2019-01-01 07:36,전라북도,익산시,0,0,0,112,0,112,기타,야외,기타야외
2019-01-01 07:46,강원도,홍천군,0,0,0,3910,3833,77,집합시설,종교시설,사찰
2019-01-01 08:02,경상남도,양산시,0,0,0,5988,389,5599,주거,공동주택,아파트
2019-01-01 08:26,부산광역시,사상구,0,0,0,0,,,주거,단독주택,다가구주택
2019-01-01 08:28,전라남도,완도군,0,0,0,4146,2984,1162,주거,단독주택,단독주택
2019-01-01 08:45,충청남도,서천군,0,0,0,2860,0,2860,"자동차,철도차량",자동차,승용자동차
2019-01-01 08:57,전라북도,익산시,0,0,0,2180,2030,150,주거,단독주택,단독주택
2019-01-01 09:13,경상남도,통영시,0,0,0,14,0,14,주거,공동주택,아파트
2019-01-01 09:23,서울특별시,강서구,0,0,0,131,103,28,기타서비스,기타건축물,기타 건축물
